job,mapper,rows,cols,neurons,synapses,hops,max_load,variance,objective,edge_cut,activity_cut,remote_fanout,lower_bound,runtime_ms,inc_speedup,avg_affected,max_abs_error
n80_4x4_s1,edge-qap,4,4,80,611,4463.605720,266.876160,3335.990039,4523.653236,505.000000,4161.051260,3252.173410,3258.948771,7.719613,0.000000,0.000000,0.000000
n80_4x4_s1,activity-qap,4,4,80,611,4130.843700,200.559540,2620.363155,4177.103286,512.000000,4027.995480,3204.124760,3210.800020,8.125680,0.000000,0.000000,0.000000
n80_4x4_s1,spectral,4,4,80,611,3323.178840,186.766270,2577.347964,3367.628947,525.000000,4208.884710,2655.112160,2660.643644,167.193745,2.275550,10.115861,0.000000
n80_4x4_s1,hysmap-seeded,4,4,80,611,3573.301260,210.826540,2386.163059,3618.245545,534.000000,4290.229180,2940.439110,2946.565025,52.034767,2.393692,10.186391,0.000000
n80_4x4_s1,hysmap,4,4,80,611,3351.578040,200.817250,2924.619932,3400.905964,524.000000,4242.447670,2655.061710,2660.593089,361.771699,2.284065,10.377358,0.000000
n80_4x4_s2,edge-qap,4,4,80,603,4357.542170,212.273480,2853.306493,4407.302583,508.000000,4026.948270,3249.057350,3255.826219,7.412559,0.000000,0.000000,0.000000
n80_4x4_s2,activity-qap,4,4,80,603,4257.522170,240.053130,2598.786530,4307.515348,500.000000,3878.575170,3054.211480,3060.574421,9.468533,0.000000,0.000000,0.000000
n80_4x4_s2,spectral,4,4,80,603,3440.534840,253.779510,2802.752517,3493.940316,516.000000,4037.644250,2662.935990,2668.483773,139.017892,2.373723,9.883333,0.000000
n80_4x4_s2,hysmap-seeded,4,4,80,603,3646.154280,248.495740,2542.634551,3696.430200,533.000000,4162.971490,2817.074940,2822.943846,49.914605,2.482202,10.045650,0.000000
n80_4x4_s2,hysmap,4,4,80,603,3440.534840,253.779510,2802.752517,3493.940316,516.000000,4037.644250,2662.935990,2668.483773,275.823455,2.375023,9.883333,0.000000
n80_4x4_s3,edge-qap,4,4,80,611,4835.956680,252.108160,3702.137662,4898.188873,498.000000,4550.211950,3595.188230,3602.678205,7.776827,0.000000,0.000000,0.000000
n80_4x4_s3,activity-qap,4,4,80,611,5155.409050,266.509730,4646.489145,5228.524914,520.000000,4592.299280,3752.432460,3760.250028,7.129703,0.000000,0.000000,0.000000
n80_4x4_s3,spectral,4,4,80,611,3836.580320,205.467460,2443.767812,3881.564744,557.000000,5115.771260,3164.260230,3170.852439,201.320222,2.524748,10.420538,0.000000
n80_4x4_s3,hysmap-seeded,4,4,80,611,4418.839470,250.469540,4164.688490,4485.533309,545.000000,4934.274380,3599.991140,3607.491122,48.088538,2.600711,9.549807,0.000000
n80_4x4_s3,hysmap,4,4,80,611,3836.580320,205.467460,2443.767812,3881.564744,557.000000,5115.771260,3164.260230,3170.852439,347.174859,2.492912,10.543641,0.000000
n80_5x5_s1,edge-qap,5,5,80,600,5581.580860,238.712350,2499.162049,5630.443715,518.000000,4241.608700,3702.725120,3707.353526,71.670358,0.000000,0.000000,0.000000
n80_5x5_s1,activity-qap,5,5,80,600,5229.670930,225.928410,3015.752398,5282.421295,520.000000,4133.931560,3543.780340,3548.210065,81.829738,0.000000,0.000000,0.000000
n80_5x5_s1,spectral,5,5,80,600,4499.981080,189.857360,2645.750969,4545.424326,548.000000,4449.264700,3379.834560,3384.059353,546.657144,2.795528,9.426624,0.000000
n80_5x5_s1,hysmap-seeded,5,5,80,600,4832.188120,207.293820,2295.001090,4875.867513,530.000000,4202.475280,3529.407520,3533.819279,173.398739,2.643370,9.735770,0.000000
n80_5x5_s1,hysmap,5,5,80,600,4499.981080,189.857360,2645.750969,4545.424326,548.000000,4449.264700,3379.834560,3384.059353,1165.817002,2.787850,9.424679,0.000000
n80_5x5_s2,edge-qap,5,5,80,605,5860.024000,221.548440,2994.011376,5912.118958,520.000000,4457.925840,3867.695070,3872.529689,75.731614,0.000000,0.000000,0.000000
n80_5x5_s2,activity-qap,5,5,80,605,5265.238710,201.901750,2475.016948,5310.179054,528.000000,4414.437950,3581.372240,3585.848955,77.774230,0.000000,0.000000,0.000000
n80_5x5_s2,spectral,5,5,80,605,4605.495410,218.303320,2783.103706,4655.156779,550.000000,4638.176040,3400.787860,3405.038845,674.640787,2.748895,10.192733,0.000000
n80_5x5_s2,hysmap-seeded,5,5,80,605,4838.628280,208.537110,2498.161845,4884.463609,538.000000,4523.183760,3493.296120,3497.662740,181.795103,2.603664,10.234327,0.000000
n80_5x5_s2,hysmap,5,5,80,605,4411.543580,209.162380,2582.990157,4458.289720,548.000000,4611.779380,3310.632980,3314.771271,1422.792951,2.667218,10.174818,0.000000
n80_5x5_s3,edge-qap,5,5,80,586,5738.612620,268.041240,3124.381757,5796.660562,507.000000,4503.922760,3832.491440,3837.282054,74.450954,0.000000,0.000000,0.000000
n80_5x5_s3,activity-qap,5,5,80,586,5314.932810,286.650630,3457.070051,5378.168574,505.000000,4383.040620,3754.101760,3758.794387,77.890732,0.000000,0.000000,0.000000
n80_5x5_s3,spectral,5,5,80,586,4831.937280,259.235460,3459.417129,4892.454997,537.000000,4731.748880,3641.789510,3646.341747,492.042108,2.813627,9.070423,0.000000
n80_5x5_s3,hysmap-seeded,5,5,80,586,4827.160840,285.102270,3327.527433,4888.946341,522.000000,4505.674430,3654.188840,3658.756576,146.055959,2.673851,9.425846,0.000000
n80_5x5_s3,hysmap,5,5,80,586,4538.592870,204.693740,2930.968157,4588.371926,525.000000,4611.932590,3405.170310,3409.426773,1197.975901,2.613890,9.938406,0.000000
n80_6x6_s1,edge-qap,6,6,80,593,6148.671060,193.640600,1704.953770,6185.084658,522.000000,4180.216820,3741.480920,3744.598821,476.685691,0.000000,0.000000,0.000000
n80_6x6_s1,activity-qap,6,6,80,593,5780.715510,226.723420,2450.897486,5827.896827,528.000000,4111.038340,3590.409930,3593.401938,608.647369,0.000000,0.000000,0.000000
n80_6x6_s1,spectral,6,6,80,593,5420.738280,179.110020,2136.529716,5460.014579,556.000000,4380.693720,3737.460870,3740.575421,2272.761192,3.223712,9.147059,0.000000
n80_6x6_s1,hysmap-seeded,6,6,80,593,5331.889040,209.984360,2192.908918,5374.816565,543.000000,4249.300440,3622.700420,3625.719337,847.775456,3.103561,9.461387,0.000000
n80_6x6_s1,hysmap,6,6,80,593,5363.675570,202.215810,2353.660538,5407.433756,542.000000,4245.288680,3609.079760,3612.087326,5418.518917,3.088553,9.479582,0.000000
n80_6x6_s2,edge-qap,6,6,80,580,6447.668000,200.035020,2413.679014,6491.808292,513.000000,4528.962700,3964.283190,3967.586759,574.474362,0.000000,0.000000,0.000000
n80_6x6_s2,activity-qap,6,6,80,580,6224.929890,240.277910,2692.582625,6275.883507,515.000000,4490.201000,3962.443050,3965.745086,533.354842,0.000000,0.000000,0.000000
n80_6x6_s2,spectral,6,6,80,580,5928.782960,217.674750,2663.772900,5977.188164,551.000000,4814.905610,4060.377550,4063.761198,2022.595899,3.141484,9.058262,0.000000
n80_6x6_s2,hysmap-seeded,6,6,80,580,5621.988240,216.847720,2192.249347,5665.595505,528.000000,4608.246680,3940.719090,3944.003023,792.576615,3.024508,9.012224,0.000000
n80_6x6_s2,hysmap,6,6,80,580,5356.014280,185.429070,1937.267278,5393.929860,538.000000,4700.434250,3936.278250,3939.558482,5350.525614,2.995774,9.393939,0.000000
n80_6x6_s3,edge-qap,6,6,80,597,6465.838150,227.329290,2610.065399,6514.671733,534.000000,4633.871770,4091.847840,4095.257713,492.772690,0.000000,0.000000,0.000000
n80_6x6_s3,activity-qap,6,6,80,597,5931.957520,211.563590,2850.821899,5981.622098,532.000000,4461.144270,3879.840060,3883.073260,522.953498,0.000000,0.000000,0.000000
n80_6x6_s3,spectral,6,6,80,597,5085.147070,200.565830,2012.454891,5125.328202,568.000000,4868.901650,3752.997100,3756.124598,2202.451628,3.019718,9.071903,0.000000
n80_6x6_s3,hysmap-seeded,6,6,80,597,5538.780830,194.307360,2525.506072,5583.466627,539.000000,4523.030650,3833.340140,3836.534590,760.797363,2.812041,9.602342,0.000000
n80_6x6_s3,hysmap,6,6,80,597,5254.732610,194.750050,2133.729383,5295.544909,568.000000,4868.901650,3752.997100,3756.124598,4952.809127,3.005816,9.225322,0.000000
n108_4x4_s1,edge-qap,4,4,108,972,6523.808670,295.383370,5273.696158,6606.083969,798.000000,6742.833680,4889.246940,4899.432871,7.601833,0.000000,0.000000,0.000000
n108_4x4_s1,activity-qap,4,4,108,972,6204.674970,354.014320,7232.078194,6312.397184,803.000000,6520.331480,4764.270440,4774.196003,7.740694,0.000000,0.000000,0.000000
n108_4x4_s1,spectral,4,4,108,972,5024.704780,388.940290,7669.713703,5140.295946,847.000000,6975.592150,4139.850370,4148.475058,265.893153,2.806011,11.454545,0.000000
n108_4x4_s1,hysmap-seeded,4,4,108,972,5359.358170,295.264700,5465.908345,5443.543723,861.000000,7098.050110,4593.028940,4602.597750,82.001365,2.996545,10.849020,0.000000
n108_4x4_s1,hysmap,4,4,108,972,5188.389410,329.914600,6220.258928,5283.583459,845.000000,6940.515390,4063.810970,4072.277243,507.265227,2.794251,11.443182,0.000000
n108_4x4_s2,edge-qap,4,4,108,978,6389.110530,335.778190,6582.159821,6488.509947,823.000000,6489.345810,4741.422720,4751.300684,6.820834,0.000000,0.000000,0.000000
n108_4x4_s2,activity-qap,4,4,108,978,6101.088360,321.033270,6379.409918,6196.985786,822.000000,6304.420470,4577.348930,4586.885074,7.611836,0.000000,0.000000,0.000000
n108_4x4_s2,spectral,4,4,108,978,4944.046630,310.852590,4808.467260,5023.216562,858.000000,6680.171610,4037.454440,4045.865803,313.492547,2.876801,11.931771,0.000000
n108_4x4_s2,hysmap-seeded,4,4,108,978,5325.718370,325.100910,6062.699215,5418.855453,852.000000,6570.089020,4306.849020,4315.821622,81.623307,2.893986,11.607714,0.000000
n108_4x4_s2,hysmap,4,4,108,978,4937.007420,278.387890,4569.955699,5010.545766,853.000000,6629.693610,3920.761830,3928.930084,638.452014,2.842753,11.993685,0.000000
n108_4x4_s3,edge-qap,4,4,108,992,6553.095090,304.052330,5287.775379,6636.378077,816.000000,6690.703310,4891.360920,4901.551255,8.042149,0.000000,0.000000,0.000000
n108_4x4_s3,activity-qap,4,4,108,992,6534.050140,340.680310,7945.808832,6647.576259,826.000000,6555.407400,4915.701770,4925.942815,8.921915,0.000000,0.000000,0.000000
n108_4x4_s3,spectral,4,4,108,992,5317.720130,386.497590,7236.515290,5428.735042,878.000000,7078.093130,4440.263120,4449.513668,295.508731,2.962404,11.729730,0.000000
n108_4x4_s3,hysmap-seeded,4,4,108,992,5954.672150,367.893730,9122.696788,6082.688491,867.000000,6999.070600,4712.485830,4722.303509,84.556090,2.878086,11.609948,0.000000
n108_4x4_s3,hysmap,4,4,108,992,5304.002850,306.704690,7733.451331,5412.007832,870.000000,7044.040830,4286.318960,4295.248791,602.233921,2.966835,11.696786,0.000000
n108_5x5_s1,edge-qap,5,5,108,913,8396.345340,332.888770,5313.881579,8482.773033,799.000000,6523.281480,5491.139660,5498.003585,77.941881,0.000000,0.000000,0.000000
n108_5x5_s1,activity-qap,5,5,108,913,8254.231290,341.174180,5161.190699,8339.960615,790.000000,6302.466820,5342.152470,5348.830161,79.517559,0.000000,0.000000,0.000000
n108_5x5_s1,spectral,5,5,108,913,6658.461420,277.092400,4291.119520,6729.081855,852.000000,6961.170410,5106.788120,5113.171605,874.105538,3.579989,10.629702,0.000000
n108_5x5_s1,hysmap-seeded,5,5,108,913,7059.079430,277.583150,4133.058920,7128.168334,829.000000,6640.236670,5063.489130,5069.818491,250.573588,3.456684,10.725924,0.000000
n108_5x5_s1,hysmap,5,5,108,913,6687.433490,272.075840,4411.352538,6758.754599,852.000000,6958.367820,5101.582930,5107.959909,1876.062578,3.518363,10.794872,0.000000
n108_5x5_s2,edge-qap,5,5,108,996,9125.401340,303.010850,5594.216771,9211.644593,862.000000,7137.995970,5912.357350,5919.747797,92.500998,0.000000,0.000000,0.000000
n108_5x5_s2,activity-qap,5,5,108,996,8410.064580,286.322200,5811.716448,8496.813964,864.000000,7014.202920,5680.395020,5687.495514,91.459366,0.000000,0.000000,0.000000
n108_5x5_s2,spectral,5,5,108,996,7278.425530,305.876650,5598.618688,7364.999382,907.000000,7491.762820,5421.071350,5427.847689,926.260201,3.420637,11.344444,0.000000
n108_5x5_s2,hysmap-seeded,5,5,108,996,7423.095020,307.670200,4926.054893,7503.122589,895.000000,7273.171490,5490.724150,5497.587555,276.466237,3.448831,11.293885,0.000000
n108_5x5_s2,hysmap,5,5,108,996,7278.425530,305.876650,5598.618688,7364.999382,907.000000,7491.762820,5421.071350,5427.847689,2037.444665,3.297524,11.344444,0.000000
n108_5x5_s3,edge-qap,5,5,108,957,8528.206700,380.592630,5904.522432,8625.311187,833.000000,6785.992790,5657.754630,5664.826823,88.200066,0.000000,0.000000,0.000000
n108_5x5_s3,activity-qap,5,5,108,957,8057.651210,307.903890,6382.011049,8152.261709,840.000000,6695.504860,5413.862720,5420.630048,71.957781,0.000000,0.000000,0.000000
n108_5x5_s3,spectral,5,5,108,957,7343.734780,280.055600,4612.418080,7417.864521,880.000000,7102.499690,5329.512440,5336.174331,874.599487,3.543936,11.025448,0.000000
n108_5x5_s3,hysmap-seeded,5,5,108,957,7313.733120,322.435380,5010.333781,7396.079996,874.000000,6990.335330,5385.059180,5391.790504,245.744775,3.347644,11.328810,0.000000
n108_5x5_s3,hysmap,5,5,108,957,7100.117610,245.777340,3702.089915,7161.716243,877.000000,7068.567130,5272.302330,5278.892708,1819.721051,3.361407,11.321643,0.000000
n108_6x6_s1,edge-qap,6,6,108,905,9867.907120,280.583520,4185.629612,9937.821768,801.000000,6538.469750,5679.875670,5684.608900,640.879207,0.000000,0.000000,0.000000
n108_6x6_s1,activity-qap,6,6,108,905,9423.460390,285.835590,4048.463404,9492.528583,803.000000,6356.558980,5631.144900,5635.837521,575.741558,0.000000,0.000000,0.000000
n108_6x6_s1,spectral,6,6,108,905,7430.380320,212.012030,3073.182803,7482.313351,846.000000,6770.956480,5200.900880,5205.234964,3164.835135,3.977836,10.276544,0.000000
n108_6x6_s1,hysmap-seeded,6,6,108,905,8072.649250,307.956280,3498.251022,8138.427388,847.000000,6813.800360,5550.756180,5555.381810,962.269416,3.859627,10.838846,0.000000
n108_6x6_s1,hysmap,6,6,108,905,7418.113810,208.981990,3246.915250,7471.481161,843.000000,6729.902990,5181.056740,5185.374287,7358.302044,3.921855,10.400571,0.000000
n108_6x6_s2,edge-qap,6,6,108,925,11074.980030,319.231030,5086.502803,11157.768161,819.000000,7062.974420,6410.882030,6416.224432,533.341649,0.000000,0.000000,0.000000
n108_6x6_s2,activity-qap,6,6,108,925,10059.379860,317.579440,5290.351696,10144.041321,828.000000,6940.617390,6137.527630,6142.642236,554.068943,0.000000,0.000000,0.000000
n108_6x6_s2,spectral,6,6,108,925,8146.480770,250.017760,3976.486710,8211.247413,865.000000,7341.318610,5759.094500,5763.893745,3279.600832,4.014071,10.345608,0.000000
n108_6x6_s2,hysmap-seeded,6,6,108,925,8547.406140,307.376490,4437.440654,8622.518196,866.000000,7325.201750,5905.642630,5910.563999,1055.203361,3.849211,11.268336,0.000000
n108_6x6_s2,hysmap,6,6,108,925,8159.414150,366.079250,4809.257524,8244.114650,866.000000,7373.590370,5697.342790,5702.090576,7576.061693,3.964297,10.834717,0.000000
n108_6x6_s3,edge-qap,6,6,108,962,10265.937270,276.546330,3989.948460,10333.491388,855.000000,6855.038290,6117.718940,6122.817039,554.292237,0.000000,0.000000,0.000000
n108_6x6_s3,activity-qap,6,6,108,962,9951.406700,295.599990,5170.235478,10032.669054,858.000000,6826.818740,6044.239540,6049.276406,576.109323,0.000000,0.000000,0.000000
n108_6x6_s3,spectral,6,6,108,962,7913.522290,268.253280,4782.593784,7988.173556,897.000000,7175.544220,5457.849310,5462.397518,3229.919842,3.635522,11.946859,0.000000
n108_6x6_s3,hysmap-seeded,6,6,108,962,8332.703020,279.789840,4065.880423,8401.340808,884.000000,7042.264610,5746.499960,5751.288710,1194.689699,3.763860,11.281240,0.000000
n108_6x6_s3,hysmap,6,6,108,962,7746.929730,232.858090,4026.460242,7810.480141,907.000000,7243.668170,5458.849130,5463.398171,7793.798704,3.656441,11.633369,0.000000
n108_7x7_s1,edge-qap,7,7,108,942,11772.782460,268.745500,3956.928591,11839.226296,859.000000,7003.092040,6420.576000,6424.397771,2897.173720,0.000000,0.000000,0.000000
